Site,Year,Analyte ,PAH,Percent
Inner Harbour,2020,"Benzo[b,j]fluoranthene",0.04,10.38961039
Inner Harbour,2020,"Benzo[b,j]fluoranthene",0.07,10.85271318
Little River,2020,"Benzo[b,j]fluoranthene",0.28,6.787878788
Little River,2020,"Benzo[b,j]fluoranthene",0.1,6.944444444
Little River,2020,"Benzo[b,j]fluoranthene",0.18,9.254498715
Marsh Creek WS DS,2020,"Benzo[b,j]fluoranthene",1.3,11.01694915
Marsh Creek WS DS,2020,"Benzo[b,j]fluoranthene",3.3,8.048780488
Marsh Creek WS DS,2020,"Benzo[b,j]fluoranthene",7.7,5.386875612
Mispec,2020,"Benzo[b,j]fluoranthene",0.005,5.882352941
Mispec,2020,"Benzo[b,j]fluoranthene",0.005,5.882352941
Mispec,2020,"Benzo[b,j]fluoranthene",0.005,5.882352941
Saints Rest Beach,2020,"Benzo[b,j]fluoranthene",0.005,5.882352941
Saints Rest Beach,2020,"Benzo[b,j]fluoranthene",0.005,5.882352941
Saints Rest Beach,2020,"Benzo[b,j]fluoranthene",0.005,5.882352941
Spar Cove,2020,"Benzo[b,j]fluoranthene",0.63,9.473684211
Spar Cove,2020,"Benzo[b,j]fluoranthene",0.54,10.11235955
Spar Cove,2020,"Benzo[b,j]fluoranthene",2.6,3.085687159
Tin Can Beach,2020,"Benzo[b,j]fluoranthene",0.4,12.6984127
Tin Can Beach,2020,"Benzo[b,j]fluoranthene",0.44,11.64021164
Tin Can Beach,2020,"Benzo[b,j]fluoranthene",0.67,9.476661952
Bayshore,2020,Benzo[e]pyrene,0.005,5.882352941
Bayshore,2020,Benzo[e]pyrene,0.005,5.882352941
Bayshore,2020,Benzo[e]pyrene,0.005,5.882352941
Black Beach,2020,Benzo[e]pyrene,0.005,5.882352941
Black Beach,2020,Benzo[e]pyrene,0.005,5.882352941
Black Beach,2020,Benzo[e]pyrene,0.005,5.882352941
Courtenay Bay,2020,Benzo[e]pyrene,0.08,5.776173285
Courtenay Bay,2020,Benzo[e]pyrene,0.1,4.474272931
Courtenay Bay,2020,Benzo[e]pyrene,0.2,4
Digby Ferry Terminal,2020,Benzo[e]pyrene,0.06,4.545454545
Digby Ferry Terminal,2020,Benzo[e]pyrene,0.03,6.060606061
Digby Ferry Terminal,2020,Benzo[e]pyrene,0.16,3.258655804
Hazen Creek Mouth,2020,Benzo[e]pyrene,0.005,5.882352941
Hazen Creek Mouth,2020,Benzo[e]pyrene,0.005,5.882352941
Hazen Creek Mouth,2020,Benzo[e]pyrene,0.005,5.882352941
Hazen Creek Nearshore,2020,Benzo[e]pyrene,0.005,2.5
Hazen Creek Nearshore,2020,Benzo[e]pyrene,0.005,5.882352941
Hazen Creek Nearshore,2020,Benzo[e]pyrene,0.005,2.380952381
Inner Harbour,2020,Benzo[e]pyrene,0.03,6.451612903
Inner Harbour,2020,Benzo[e]pyrene,0.02,5.194805195
Inner Harbour,2020,Benzo[e]pyrene,0.04,6.201550388
Little River,2020,Benzo[e]pyrene,0.17,4.121212121
Little River,2020,Benzo[e]pyrene,0.18,12.5
Little River,2020,Benzo[e]pyrene,0.12,6.16966581
Marsh Creek WS DS,2020,Benzo[e]pyrene,0.69,5.847457627
Marsh Creek WS DS,2020,Benzo[e]pyrene,1.4,3.414634146
Marsh Creek WS DS,2020,Benzo[e]pyrene,4.4,3.078214636
Mispec,2020,Benzo[e]pyrene,0.005,5.882352941
Mispec,2020,Benzo[e]pyrene,0.005,5.882352941
Mispec,2020,Benzo[e]pyrene,0.005,5.882352941
Saints Rest Beach,2020,Benzo[e]pyrene,0.005,5.882352941
Saints Rest Beach,2020,Benzo[e]pyrene,0.005,5.882352941
Saints Rest Beach,2020,Benzo[e]pyrene,0.005,5.882352941
Spar Cove,2020,Benzo[e]pyrene,0.29,4.360902256
Spar Cove,2020,Benzo[e]pyrene,0.26,4.868913858
Spar Cove,2020,Benzo[e]pyrene,1.1,1.305483029
Tin Can Beach,2020,Benzo[e]pyrene,0.2,6.349206349
Tin Can Beach,2020,Benzo[e]pyrene,0.21,5.555555556
Tin Can Beach,2020,Benzo[e]pyrene,0.32,4.526166902
Bayshore,2020,Benzo[k]fluoranthene,0.005,5.882352941
Bayshore,2020,Benzo[k]fluoranthene,0.005,5.882352941
Bayshore,2020,Benzo[k]fluoranthene,0.005,5.882352941
Black Beach,2020,Benzo[k]fluoranthene,0.005,5.882352941
Black Beach,2020,Benzo[k]fluoranthene,0.005,5.882352941
Black Beach,2020,Benzo[k]fluoranthene,0.005,5.882352941
Courtenay Bay,2020,Benzo[k]fluoranthene,0.05,3.610108303
Courtenay Bay,2020,Benzo[k]fluoranthene,0.08,3.579418345
Courtenay Bay,2020,Benzo[k]fluoranthene,0.16,3.2
Digby Ferry Terminal,2020,Benzo[k]fluoranthene,0.04,3.03030303
Digby Ferry Terminal,2020,Benzo[k]fluoranthene,0.02,4.04040404
Digby Ferry Terminal,2020,Benzo[k]fluoranthene,0.14,2.851323829
Hazen Creek Mouth,2020,Benzo[k]fluoranthene,0.005,5.882352941
Hazen Creek Mouth,2020,Benzo[k]fluoranthene,0.005,5.882352941
Hazen Creek Mouth,2020,Benzo[k]fluoranthene,0.005,5.882352941
Hazen Creek Nearshore,2020,Benzo[k]fluoranthene,0.005,2.5
Hazen Creek Nearshore,2020,Benzo[k]fluoranthene,0.005,5.882352941
Hazen Creek Nearshore,2020,Benzo[k]fluoranthene,0.005,2.380952381
Inner Harbour,2020,Benzo[k]fluoranthene,0.02,4.301075269
Inner Harbour,2020,Benzo[k]fluoranthene,0.01,2.597402597
Inner Harbour,2020,Benzo[k]fluoranthene,0.03,4.651162791
Little River,2020,Benzo[k]fluoranthene,0.09,2.181818182
Little River,2020,Benzo[k]fluoranthene,0.05,3.472222222
Little River,2020,Benzo[k]fluoranthene,0.07,3.598971722
Marsh Creek WS DS,2020,Benzo[k]fluoranthene,0.4,3.389830508
Marsh Creek WS DS,2020,Benzo[k]fluoranthene,1,2.43902439
Marsh Creek WS DS,2020,Benzo[k]fluoranthene,3.7,2.588498671
Mispec,2020,Benzo[k]fluoranthene,0.005,5.882352941
Mispec,2020,Benzo[k]fluoranthene,0.005,5.882352941
Mispec,2020,Benzo[k]fluoranthene,0.005,5.882352941
Saints Rest Beach,2020,Benzo[k]fluoranthene,0.005,5.882352941
Saints Rest Beach,2020,Benzo[k]fluoranthene,0.005,5.882352941
Saints Rest Beach,2020,Benzo[k]fluoranthene,0.005,5.882352941
Spar Cove,2020,Benzo[k]fluoranthene,0.22,3.308270677
Spar Cove,2020,Benzo[k]fluoranthene,0.2,3.745318352
Spar Cove,2020,Benzo[k]fluoranthene,1.2,1.424163304
Tin Can Beach,2020,Benzo[k]fluoranthene,0.12,3.80952381
Tin Can Beach,2020,Benzo[k]fluoranthene,0.16,4.232804233
Tin Can Beach,2020,Benzo[k]fluoranthene,0.26,3.677510608
Bayshore,2020,Chrysene + Triphenylene,0.005,5.882352941
Bayshore,2020,Chrysene + Triphenylene,0.005,5.882352941
Bayshore,2020,Chrysene + Triphenylene,0.005,5.882352941
Black Beach,2020,Chrysene + Triphenylene,0.005,5.882352941
Black Beach,2020,Chrysene + Triphenylene,0.005,5.882352941
Black Beach,2020,Chrysene + Triphenylene,0.005,5.882352941
Courtenay Bay,2020,Chrysene + Triphenylene,0.17,12.27436823
Courtenay Bay,2020,Chrysene + Triphenylene,0.28,12.52796421
Courtenay Bay,2020,Chrysene + Triphenylene,0.32,6.4
Digby Ferry Terminal,2020,Chrysene + Triphenylene,0.1,7.575757576
Digby Ferry Terminal,2020,Chrysene + Triphenylene,0.03,6.060606061
Digby Ferry Terminal,2020,Chrysene + Triphenylene,0.29,5.906313646
Hazen Creek Mouth,2020,Chrysene + Triphenylene,0.005,5.882352941
Hazen Creek Mouth,2020,Chrysene + Triphenylene,0.005,5.882352941
Hazen Creek Mouth,2020,Chrysene + Triphenylene,0.005,5.882352941
Hazen Creek Nearshore,2020,Chrysene + Triphenylene,0.02,10
Hazen Creek Nearshore,2020,Chrysene + Triphenylene,0.005,5.882352941
Hazen Creek Nearshore,2020,Chrysene + Triphenylene,0.01,4.761904762
Inner Harbour,2020,Chrysene + Triphenylene,0.04,8.602150538
Inner Harbour,2020,Chrysene + Triphenylene,0.03,7.792207792
Inner Harbour,2020,Chrysene + Triphenylene,0.05,7.751937984
Little River,2020,Chrysene + Triphenylene,0.24,5.818181818
Little River,2020,Chrysene + Triphenylene,0.18,12.5
Little River,2020,Chrysene + Triphenylene,0.14,7.197943445
Marsh Creek WS DS,2020,Chrysene + Triphenylene,1.1,9.322033898
Marsh Creek WS DS,2020,Chrysene + Triphenylene,2.3,5.609756098
Marsh Creek WS DS,2020,Chrysene + Triphenylene,8.4,5.876591577
Mispec,2020,Chrysene + Triphenylene,0.005,5.882352941
Mispec,2020,Chrysene + Triphenylene,0.005,5.882352941
Mispec,2020,Chrysene + Triphenylene,0.005,5.882352941
Saints Rest Beach,2020,Chrysene + Triphenylene,0.005,5.882352941
Saints Rest Beach,2020,Chrysene + Triphenylene,0.005,5.882352941
Saints Rest Beach,2020,Chrysene + Triphenylene,0.005,5.882352941
Spar Cove,2020,Chrysene + Triphenylene,0.52,7.819548872
Spar Cove,2020,Chrysene + Triphenylene,0.33,6.179775281
Spar Cove,2020,Chrysene + Triphenylene,4.6,5.459292666
Tin Can Beach,2020,Chrysene + Triphenylene,0.24,7.619047619
Tin Can Beach,2020,Chrysene + Triphenylene,0.25,6.613756614
Tin Can Beach,2020,Chrysene + Triphenylene,0.5,7.072135785
Bayshore,2020,"Dibenz[a,h]anthracene",0.005,5.882352941
Bayshore,2020,"Dibenz[a,h]anthracene",0.005,5.882352941
Bayshore,2020,"Dibenz[a,h]anthracene",0.005,5.882352941
Black Beach,2020,"Dibenz[a,h]anthracene",0.005,5.882352941
Black Beach,2020,"Dibenz[a,h]anthracene",0.005,5.882352941
Black Beach,2020,"Dibenz[a,h]anthracene",0.005,5.882352941
Courtenay Bay,2020,"Dibenz[a,h]anthracene",0.01,0.722021661
Courtenay Bay,2020,"Dibenz[a,h]anthracene",0.02,0.894854586
Courtenay Bay,2020,"Dibenz[a,h]anthracene",0.05,1
Digby Ferry Terminal,2020,"Dibenz[a,h]anthracene",0.01,0.757575758
Digby Ferry Terminal,2020,"Dibenz[a,h]anthracene",0.005,1.01010101
Digby Ferry Terminal,2020,"Dibenz[a,h]anthracene",0.04,0.814663951
Hazen Creek Mouth,2020,"Dibenz[a,h]anthracene",0.005,5.882352941
Hazen Creek Mouth,2020,"Dibenz[a,h]anthracene",0.005,5.882352941
Hazen Creek Mouth,2020,"Dibenz[a,h]anthracene",0.005,5.882352941
Hazen Creek Nearshore,2020,"Dibenz[a,h]anthracene",0.005,2.5
Hazen Creek Nearshore,2020,"Dibenz[a,h]anthracene",0.005,5.882352941
Hazen Creek Nearshore,2020,"Dibenz[a,h]anthracene",0.005,2.380952381
Inner Harbour,2020,"Dibenz[a,h]anthracene",0.005,1.075268817
Inner Harbour,2020,"Dibenz[a,h]anthracene",0.005,1.298701299
Inner Harbour,2020,"Dibenz[a,h]anthracene",0.005,0.775193798
Little River,2020,"Dibenz[a,h]anthracene",0.03,0.727272727
Little River,2020,"Dibenz[a,h]anthracene",0.03,2.083333333
Little River,2020,"Dibenz[a,h]anthracene",0.03,1.542416452
Marsh Creek WS DS,2020,"Dibenz[a,h]anthracene",0.15,1.271186441
Marsh Creek WS DS,2020,"Dibenz[a,h]anthracene",0.38,0.926829268
Marsh Creek WS DS,2020,"Dibenz[a,h]anthracene",1.3,0.909472506
Mispec,2020,"Dibenz[a,h]anthracene",0.005,5.882352941
Mispec,2020,"Dibenz[a,h]anthracene",0.005,5.882352941
Mispec,2020,"Dibenz[a,h]anthracene",0.005,5.882352941
Saints Rest Beach,2020,"Dibenz[a,h]anthracene",0.005,5.882352941
Saints Rest Beach,2020,"Dibenz[a,h]anthracene",0.005,5.882352941
Saints Rest Beach,2020,"Dibenz[a,h]anthracene",0.005,5.882352941
Spar Cove,2020,"Dibenz[a,h]anthracene",0.06,0.902255639
Spar Cove,2020,"Dibenz[a,h]anthracene",0.06,1.123595506
Spar Cove,2020,"Dibenz[a,h]anthracene",0.13,0.154284358
Tin Can Beach,2020,"Dibenz[a,h]anthracene",0.04,1.26984127
Tin Can Beach,2020,"Dibenz[a,h]anthracene",0.06,1.587301587
Tin Can Beach,2020,"Dibenz[a,h]anthracene",0.1,1.414427157
Bayshore,2020,Fluoranthene,0.005,5.882352941
Bayshore,2020,Fluoranthene,0.005,5.882352941
Bayshore,2020,Fluoranthene,0.005,5.882352941
Black Beach,2020,Fluoranthene,0.005,5.882352941
Black Beach,2020,Fluoranthene,0.005,5.882352941
Black Beach,2020,Fluoranthene,0.005,5.882352941
Courtenay Bay,2020,Fluoranthene,0.25,18.05054152
Courtenay Bay,2020,Fluoranthene,0.38,17.00223714
Courtenay Bay,2020,Fluoranthene,0.75,15
Digby Ferry Terminal,2020,Fluoranthene,0.22,16.66666667
Digby Ferry Terminal,2020,Fluoranthene,0.08,16.16161616
Digby Ferry Terminal,2020,Fluoranthene,0.82,16.700611
Hazen Creek Mouth,2020,Fluoranthene,0.005,5.882352941
Hazen Creek Mouth,2020,Fluoranthene,0.005,5.882352941
Hazen Creek Mouth,2020,Fluoranthene,0.005,5.882352941
Hazen Creek Nearshore,2020,Fluoranthene,0.03,15
Hazen Creek Nearshore,2020,Fluoranthene,0.005,5.882352941
Hazen Creek Nearshore,2020,Fluoranthene,0.04,19.04761905
Inner Harbour,2020,Fluoranthene,0.07,15.05376344
Inner Harbour,2020,Fluoranthene,0.06,15.58441558
Inner Harbour,2020,Fluoranthene,0.09,13.95348837
Little River,2020,Fluoranthene,0.98,23.75757576
Little River,2020,Fluoranthene,0.16,11.11111111
Little River,2020,Fluoranthene,0.3,15.42416452
Marsh Creek WS DS,2020,Fluoranthene,2.1,17.79661017
Marsh Creek WS DS,2020,Fluoranthene,7.3,17.80487805
Marsh Creek WS DS,2020,Fluoranthene,24,16.79026165
Mispec,2020,Fluoranthene,0.005,5.882352941
Mispec,2020,Fluoranthene,0.005,5.882352941
Mispec,2020,Fluoranthene,0.005,5.882352941
Saints Rest Beach,2020,Fluoranthene,0.005,5.882352941
Saints Rest Beach,2020,Fluoranthene,0.005,5.882352941
Saints Rest Beach,2020,Fluoranthene,0.005,5.882352941
Spar Cove,2020,Fluoranthene,1.2,18.04511278
Spar Cove,2020,Fluoranthene,0.97,18.16479401
Spar Cove,2020,Fluoranthene,31,36.79088535
Tin Can Beach,2020,Fluoranthene,0.46,14.6031746
Tin Can Beach,2020,Fluoranthene,0.56,14.81481481
Tin Can Beach,2020,Fluoranthene,1,14.14427157
Bayshore,2020,Fluorene,0.005,5.882352941
Bayshore,2020,Fluorene,0.005,5.882352941
Bayshore,2020,Fluorene,0.005,5.882352941
Black Beach,2020,Fluorene,0.005,5.882352941
Black Beach,2020,Fluorene,0.005,5.882352941
Black Beach,2020,Fluorene,0.005,5.882352941
Courtenay Bay,2020,Fluorene,0.02,1.444043321
Courtenay Bay,2020,Fluorene,0.04,1.789709172
Courtenay Bay,2020,Fluorene,0.19,3.8
Digby Ferry Terminal,2020,Fluorene,0.03,2.272727273
Digby Ferry Terminal,2020,Fluorene,0.005,1.01010101
Digby Ferry Terminal,2020,Fluorene,0.16,3.258655804
Hazen Creek Mouth,2020,Fluorene,0.005,5.882352941
Hazen Creek Mouth,2020,Fluorene,0.005,5.882352941
Hazen Creek Mouth,2020,Fluorene,0.005,5.882352941
Hazen Creek Nearshore,2020,Fluorene,0.005,2.5
Hazen Creek Nearshore,2020,Fluorene,0.005,5.882352941
Hazen Creek Nearshore,2020,Fluorene,0.005,2.380952381
Inner Harbour,2020,Fluorene,0.005,1.075268817
Inner Harbour,2020,Fluorene,0.005,1.298701299
Inner Harbour,2020,Fluorene,0.005,0.775193798
Little River,2020,Fluorene,0.05,1.212121212
Little River,2020,Fluorene,0.005,0.347222222
Little River,2020,Fluorene,0.02,1.028277635
Marsh Creek WS DS,2020,Fluorene,0.16,1.355932203
Marsh Creek WS DS,2020,Fluorene,0.81,1.975609756
Marsh Creek WS DS,2020,Fluorene,3.7,2.588498671
Mispec,2020,Fluorene,0.005,5.882352941
Mispec,2020,Fluorene,0.005,5.882352941
Mispec,2020,Fluorene,0.005,5.882352941
Saints Rest Beach,2020,Fluorene,0.005,5.882352941
Saints Rest Beach,2020,Fluorene,0.005,5.882352941
Saints Rest Beach,2020,Fluorene,0.005,5.882352941
Spar Cove,2020,Fluorene,0.1,1.503759398
Spar Cove,2020,Fluorene,0.05,0.936329588
Spar Cove,2020,Fluorene,0.94,1.115594588
Tin Can Beach,2020,Fluorene,0.03,0.952380952
Tin Can Beach,2020,Fluorene,0.02,0.529100529
Tin Can Beach,2020,Fluorene,0.13,1.838755304
Bayshore,2020,"Indeno[1,2,3-cd]pyrene",0.005,5.882352941
Bayshore,2020,"Indeno[1,2,3-cd]pyrene",0.005,5.882352941
Bayshore,2020,"Indeno[1,2,3-cd]pyrene",0.005,5.882352941
Black Beach,2020,"Indeno[1,2,3-cd]pyrene",0.005,5.882352941
Black Beach,2020,"Indeno[1,2,3-cd]pyrene",0.005,5.882352941
Black Beach,2020,"Indeno[1,2,3-cd]pyrene",0.005,5.882352941
Courtenay Bay,2020,"Indeno[1,2,3-cd]pyrene",0.06,4.332129964
Courtenay Bay,2020,"Indeno[1,2,3-cd]pyrene",0.07,3.131991051
Courtenay Bay,2020,"Indeno[1,2,3-cd]pyrene",0.21,4.2
Digby Ferry Terminal,2020,"Indeno[1,2,3-cd]pyrene",0.05,3.787878788
Digby Ferry Terminal,2020,"Indeno[1,2,3-cd]pyrene",0.02,4.04040404
Digby Ferry Terminal,2020,"Indeno[1,2,3-cd]pyrene",0.17,3.462321792
Hazen Creek Mouth,2020,"Indeno[1,2,3-cd]pyrene",0.005,5.882352941
Hazen Creek Mouth,2020,"Indeno[1,2,3-cd]pyrene",0.005,5.882352941
Hazen Creek Mouth,2020,"Indeno[1,2,3-cd]pyrene",0.005,5.882352941
Hazen Creek Nearshore,2020,"Indeno[1,2,3-cd]pyrene",0.005,2.5
Hazen Creek Nearshore,2020,"Indeno[1,2,3-cd]pyrene",0.005,5.882352941
Hazen Creek Nearshore,2020,"Indeno[1,2,3-cd]pyrene",0.005,2.380952381
Inner Harbour,2020,"Indeno[1,2,3-cd]pyrene",0.02,4.301075269
Inner Harbour,2020,"Indeno[1,2,3-cd]pyrene",0.02,5.194805195
Inner Harbour,2020,"Indeno[1,2,3-cd]pyrene",0.04,6.201550388
Little River,2020,"Indeno[1,2,3-cd]pyrene",0.11,2.666666667
Little River,2020,"Indeno[1,2,3-cd]pyrene",0.08,5.555555556
Little River,2020,"Indeno[1,2,3-cd]pyrene",0.11,5.655526992
Marsh Creek WS DS,2020,"Indeno[1,2,3-cd]pyrene",0.6,5.084745763
Marsh Creek WS DS,2020,"Indeno[1,2,3-cd]pyrene",1.5,3.658536585
Marsh Creek WS DS,2020,"Indeno[1,2,3-cd]pyrene",5.1,3.5679306
Mispec,2020,"Indeno[1,2,3-cd]pyrene",0.005,5.882352941
Mispec,2020,"Indeno[1,2,3-cd]pyrene",0.005,5.882352941
Mispec,2020,"Indeno[1,2,3-cd]pyrene",0.005,5.882352941
Saints Rest Beach,2020,"Indeno[1,2,3-cd]pyrene",0.005,5.882352941
Saints Rest Beach,2020,"Indeno[1,2,3-cd]pyrene",0.005,5.882352941
Saints Rest Beach,2020,"Indeno[1,2,3-cd]pyrene",0.005,5.882352941
Spar Cove,2020,"Indeno[1,2,3-cd]pyrene",0.26,3.909774436
Spar Cove,2020,"Indeno[1,2,3-cd]pyrene",0.25,4.68164794
Spar Cove,2020,"Indeno[1,2,3-cd]pyrene",0.58,0.688345597
Tin Can Beach,2020,"Indeno[1,2,3-cd]pyrene",0.17,5.396825397
Tin Can Beach,2020,"Indeno[1,2,3-cd]pyrene",0.25,6.613756614
Tin Can Beach,2020,"Indeno[1,2,3-cd]pyrene",0.4,5.657708628
Bayshore,2020,Naphthalene,0.005,5.882352941
Bayshore,2020,Naphthalene,0.005,5.882352941
Bayshore,2020,Naphthalene,0.005,5.882352941
Black Beach,2020,Naphthalene,0.005,5.882352941
Black Beach,2020,Naphthalene,0.005,5.882352941
Black Beach,2020,Naphthalene,0.005,5.882352941
Courtenay Bay,2020,Naphthalene,0.005,0.36101083
Courtenay Bay,2020,Naphthalene,0.02,0.894854586
Courtenay Bay,2020,Naphthalene,0.04,0.8
Digby Ferry Terminal,2020,Naphthalene,0.02,1.515151515
Digby Ferry Terminal,2020,Naphthalene,0.005,1.01010101
Digby Ferry Terminal,2020,Naphthalene,0.08,1.629327902
Hazen Creek Mouth,2020,Naphthalene,0.005,5.882352941
Hazen Creek Mouth,2020,Naphthalene,0.005,5.882352941
Hazen Creek Mouth,2020,Naphthalene,0.005,5.882352941
Hazen Creek Nearshore,2020,Naphthalene,0.005,2.5
Hazen Creek Nearshore,2020,Naphthalene,0.005,5.882352941
Hazen Creek Nearshore,2020,Naphthalene,0.005,2.380952381
Inner Harbour,2020,Naphthalene,0.005,1.075268817
Inner Harbour,2020,Naphthalene,0.005,1.298701299
Inner Harbour,2020,Naphthalene,0.005,0.775193798
Little River,2020,Naphthalene,0.01,0.242424242
Little River,2020,Naphthalene,0.005,0.347222222
Little River,2020,Naphthalene,0.01,0.514138817
Marsh Creek WS DS,2020,Naphthalene,0.04,0.338983051
Marsh Creek WS DS,2020,Naphthalene,0.41,1
Marsh Creek WS DS,2020,Naphthalene,3.7,2.588498671
Mispec,2020,Naphthalene,0.005,5.882352941
Mispec,2020,Naphthalene,0.005,5.882352941
Mispec,2020,Naphthalene,0.005,5.882352941
Saints Rest Beach,2020,Naphthalene,0.005,5.882352941
Saints Rest Beach,2020,Naphthalene,0.005,5.882352941
Saints Rest Beach,2020,Naphthalene,0.005,5.882352941
Spar Cove,2020,Naphthalene,0.03,0.45112782
Spar Cove,2020,Naphthalene,0.02,0.374531835
Spar Cove,2020,Naphthalene,0.03,0.035604083
Tin Can Beach,2020,Naphthalene,0.03,0.952380952
Tin Can Beach,2020,Naphthalene,0.02,0.529100529
Tin Can Beach,2020,Naphthalene,0.09,1.272984441
Bayshore,2020,Phenanthrene,0.005,5.882352941
Bayshore,2020,Phenanthrene,0.005,5.882352941
Bayshore,2020,Phenanthrene,0.005,5.882352941
Black Beach,2020,Phenanthrene,0.005,5.882352941
Black Beach,2020,Phenanthrene,0.005,5.882352941
Black Beach,2020,Phenanthrene,0.005,5.882352941
Courtenay Bay,2020,Phenanthrene,0.1,7.220216606
Courtenay Bay,2020,Phenanthrene,0.22,9.843400447
Courtenay Bay,2020,Phenanthrene,0.76,15.2
Digby Ferry Terminal,2020,Phenanthrene,0.18,13.63636364
Digby Ferry Terminal,2020,Phenanthrene,0.05,10.1010101
Digby Ferry Terminal,2020,Phenanthrene,0.85,17.31160896
Hazen Creek Mouth,2020,Phenanthrene,0.005,5.882352941
Hazen Creek Mouth,2020,Phenanthrene,0.005,5.882352941
Hazen Creek Mouth,2020,Phenanthrene,0.005,5.882352941
Hazen Creek Nearshore,2020,Phenanthrene,0.03,15
Hazen Creek Nearshore,2020,Phenanthrene,0.005,5.882352941
Hazen Creek Nearshore,2020,Phenanthrene,0.03,14.28571429
Inner Harbour,2020,Phenanthrene,0.04,8.602150538
Inner Harbour,2020,Phenanthrene,0.04,10.38961039
Inner Harbour,2020,Phenanthrene,0.06,9.302325581
Little River,2020,Phenanthrene,0.74,17.93939394
Little River,2020,Phenanthrene,0.1,6.944444444
Little River,2020,Phenanthrene,0.2,10.28277635
Marsh Creek WS DS,2020,Phenanthrene,1,8.474576271
Marsh Creek WS DS,2020,Phenanthrene,7,17.07317073
Marsh Creek WS DS,2020,Phenanthrene,27,18.88904435
Mispec,2020,Phenanthrene,0.005,5.882352941
Mispec,2020,Phenanthrene,0.005,5.882352941
Mispec,2020,Phenanthrene,0.005,5.882352941
Saints Rest Beach,2020,Phenanthrene,0.005,5.882352941
Saints Rest Beach,2020,Phenanthrene,0.005,5.882352941
Saints Rest Beach,2020,Phenanthrene,0.005,5.882352941
Spar Cove,2020,Phenanthrene,0.84,12.63157895
Spar Cove,2020,Phenanthrene,0.51,9.550561798
Spar Cove,2020,Phenanthrene,9.9,11.74934726
Tin Can Beach,2020,Phenanthrene,0.28,8.888888889
Tin Can Beach,2020,Phenanthrene,0.27,7.142857143
Tin Can Beach,2020,Phenanthrene,0.86,12.16407355
Bayshore,2020,Pyrene,0.005,5.882352941
Bayshore,2020,Pyrene,0.005,5.882352941
Bayshore,2020,Pyrene,0.005,5.882352941
Black Beach,2020,Pyrene,0.005,5.882352941
Black Beach,2020,Pyrene,0.005,5.882352941
Black Beach,2020,Pyrene,0.005,5.882352941
Courtenay Bay,2020,Pyrene,0.16,11.55234657
Courtenay Bay,2020,Pyrene,0.25,11.18568233
Courtenay Bay,2020,Pyrene,0.59,11.8
Digby Ferry Terminal,2020,Pyrene,0.18,13.63636364
Digby Ferry Terminal,2020,Pyrene,0.07,14.14141414
Digby Ferry Terminal,2020,Pyrene,0.64,13.03462322
Hazen Creek Mouth,2020,Pyrene,0.005,5.882352941
Hazen Creek Mouth,2020,Pyrene,0.005,5.882352941
Hazen Creek Mouth,2020,Pyrene,0.005,5.882352941
Hazen Creek Nearshore,2020,Pyrene,0.03,15
Hazen Creek Nearshore,2020,Pyrene,0.005,5.882352941
Hazen Creek Nearshore,2020,Pyrene,0.03,14.28571429
Inner Harbour,2020,Pyrene,0.06,12.90322581
Inner Harbour,2020,Pyrene,0.05,12.98701299
Inner Harbour,2020,Pyrene,0.08,12.40310078
Little River,2020,Pyrene,0.7,16.96969697
Little River,2020,Pyrene,0.19,13.19444444
Little River,2020,Pyrene,0.27,13.88174807
Marsh Creek WS DS,2020,Pyrene,1.4,11.86440678
Marsh Creek WS DS,2020,Pyrene,6,14.63414634
Marsh Creek WS DS,2020,Pyrene,20,13.99188471
Mispec,2020,Pyrene,0.005,5.882352941
Mispec,2020,Pyrene,0.005,5.882352941
Mispec,2020,Pyrene,0.005,5.882352941
Saints Rest Beach,2020,Pyrene,0.005,5.882352941
Saints Rest Beach,2020,Pyrene,0.005,5.882352941
Saints Rest Beach,2020,Pyrene,0.005,5.882352941
Spar Cove,2020,Pyrene,0.97,14.58646617
Spar Cove,2020,Pyrene,0.85,15.917603
Spar Cove,2020,Pyrene,23,27.29646333
Tin Can Beach,2020,Pyrene,0.4,12.6984127
Tin Can Beach,2020,Pyrene,0.52,13.75661376
Tin Can Beach,2020,Pyrene,0.87,12.30551627
Bayshore,2020,Total PAH,0.085,100
Bayshore,2020,Total PAH,0.085,100
Bayshore,2020,Total PAH,0.085,100
Black Beach,2020,Total PAH,0.085,100
Black Beach,2020,Total PAH,0.085,100
Black Beach,2020,Total PAH,0.085,100
Courtenay Bay,2020,Total PAH,1.385,100
Courtenay Bay,2020,Total PAH,2.235,100
Courtenay Bay,2020,Total PAH,5,100
Digby Ferry Terminal,2020,Total PAH,1.32,100
Digby Ferry Terminal,2020,Total PAH,0.495,100
Digby Ferry Terminal,2020,Total PAH,4.91,100
Hazen Creek Mouth,2020,Total PAH,0.085,100
Hazen Creek Mouth,2020,Total PAH,0.085,100
Hazen Creek Mouth,2020,Total PAH,0.085,100
Hazen Creek Nearshore,2020,Total PAH,0.2,100
Hazen Creek Nearshore,2020,Total PAH,0.085,100
Hazen Creek Nearshore,2020,Total PAH,0.21,100
Inner Harbour,2020,Total PAH,0.465,100
Inner Harbour,2020,Total PAH,0.385,100
Inner Harbour,2020,Total PAH,0.645,100
Little River,2020,Total PAH,4.125,100
Little River,2020,Total PAH,1.44,100
